020,69553,1,1,1,1,1,1,1,
0AA,69553,18,256,18,256,18,256,18,256
024,69551,6,219,3,148,3,184,3,155
025,69539,2,256,1,1,14,14,4,256
127,5146,17,1,1,5,248,34,256,256
026,41581,2,4,256,1,1,22,256,256
1C4,35763,14,256,1,1,1,1,1,256
245,35761,14,256,156,4,256,,,
247,35761,5,251,2,1,1,,,
235,34777,1,1,1,1,1,1,,
224,34777,2,1,1,1,6,163,1,1
0B4,34777,2,26,1,1,9,18,256,256
023,34775,256,256,1,2,1,1,256,
262,2791,5,2,1,3,5,,,
1AA,17389,1,1,1,1,1,1,,
032,17389,3,1,8,1,14,2,1,143
32A,17389,1,1,,,,,,
0B6,17388,17,256,1,256,,,,
351,13861,1,1,1,1,,,,
361,1355,1,33,149,1,,,,
3F9,3371,1,1,1,1,1,1,1,1
06C,2827,1,2,3,3,1,1,1,1
062,2824,1,2,1,14,2,2,1,2
3B7,2783,2,2,1,1,1,1,1,1
394,2774,2,,,,,,,
061,1694,1,2,44,1,1,1,1,1
63B,1691,1,1,1,2,1,1,33,256
49D,1686,33,33,94,9,5,3,8,4
4A8,1686,1,1,1,1,1,1,1,1
498,1686,1,13,216,26,15,42,39,1
49C,1686,82,14,58,33,1,1,1,23
49B,1686,42,64,12,11,1,2,7,1
4A7,1686,44,1,48,1,21,1,1,1
499,1686,22,86,96,39,2,35,4,16
49A,1686,8,1,1,3,38,4,3,3
04A,1676,1,14,2,34,34,34,34,2
4A1,1676,29,3,47,5,1,9,8,5
4A2,1676,26,1,76,23,31,22,32,3
3B3,1645,1,1,44,,,,,
3D3,166,11,28,,,,,,
45C,1423,3,4,2,2,2,1,1,1
044,1422,2,5,2,2,2,1,1,1
44D,1421,2,4,2,2,2,1,1,1
442,1421,4,5,2,2,2,1,1,1
443,142,3,4,2,1,1,1,1,1
45F,146,2,3,2,1,1,1,1,1
4A6,153,8,2,2,5,1,22,37,1
4C1,926,1,1,1,1,1,1,1,1
4C3,898,1,1,1,1,1,1,1,1
4C6,878,1,1,1,1,1,1,1,1
3BB,875,2,1,1,1,,,,
4C7,868,1,1,1,1,1,1,1,1
3B6,863,1,1,4,4,1,5,11,7
611,853,1,2,1,2,1,1,1,4
638,849,1,2,3,1,2,1,1,1
635,849,1,2,1,1,1,1,3,1
4C8,849,1,1,1,1,1,1,1,1
622,849,1,2,4,2,1,1,1,1
626,848,1,2,2,1,1,1,1,1
632,848,1,2,1,1,2,1,1,1
063,847,1,1,1,1,1,1,1,1
639,847,1,2,2,2,1,1,1,1
621,847,1,2,2,1,1,1,1,1
633,847,1,1,1,1,1,1,1,1
624,846,1,1,1,1,1,1,1,1
068,846,1,1,1,1,1,1,1,1
3BD,843,3,,,,,,,
03B,843,1,7,1,2,1,2,,
3B1,843,1,1,2,1,1,1,1,1
387,842,1,1,1,1,1,1,1,1
38E,842,1,1,1,1,1,1,1,1
421,842,1,1,1,1,1,1,1,1
38F,842,2,,,,,,,
3BC,838,1,2,1,1,1,3,1,1
423,837,1,,,,,,,
4DD,834,1,1,1,1,1,1,1,1
042,833,1,2,1,2,1,1,3,3
3B9,823,64,1,1,,,,,
399,823,1,1,1,1,1,1,1,
613,422,1,2,1,1,1,1,1,1
616,422,1,2,1,1,1,1,1,1
383,421,1,1,1,1,1,1,1,1
381,173,1,2,4,1,1,1,1,1
382,17,2,1,1,,,,,
612,12,1,2,1,1,2,9,1,1
619,9,1,2,1,1,1,1,5,1
61A,87,1,2,1,1,1,1,1,1
778,2,2,6,7,8,8,5,3,3
077,2,2,3,3,6,6,1,1,1
631,6,1,1,1,2,1,1,1,1
